id,userId,content,createdAt
1,2,"Købte Early Bird hos Sunshine Coffee – let, rund og med fine noter af karamel og citrus. Perfekt til pour-over.",2025-08-30T10:17:45+02:00
2,3,Boldly Go fra Sunshine Coffee har dybe jordede toner og mørk kakao. Den sparker mig i gang hver morgen.,2025-08-31T09:17:45+02:00
3,4,La Cabra hos Sunshine Coffee er fyldig med bær og mørk chokolade. Super som V60.,2025-09-01T08:17:45+02:00
4,5,Onyx fra Sunshine Coffee er tropisk og frisk – mango og jasmin popper virkelig i en håndbryg.,2025-09-02T07:17:45+02:00
5,6,"Devans fra Sunshine Coffee er mørk og krydret, med peber og nellike. Min go-to til espresso.",2025-09-03T06:17:45+02:00
6,7,Cultivate hos Sunshine Coffee er balanceret med æble og mandel – rigtig rar som filter.,2025-09-04T05:17:45+02:00
7,1,"Yellow Catuai fra Sunshine Coffee er frugtig, ren og sød. Gør sig godt som cold brew.",2025-09-05T04:17:45+02:00
8,2,Elsker baristaerne hos Sunshine Coffee – de maler præcist og anbefaler altid den rette bryggeprofil.,2025-09-06T03:17:45+02:00
9,3,"Sunshine Coffee’s espresso-shot var sirupsagtigt med lang, ren eftersmag. Perfekt kalibreret.",2025-09-07T02:17:45+02:00
10,4,Prøv cappuccino hos Sunshine Coffee: cremet mikroskum og nøddeagtig sødme.,2025-09-08T01:17:45+02:00
11,5,Sunshine Coffee har tydelig sporbarhed og friskhedsdatoer – det kan smages i koppen.,2025-09-09T00:17:45+02:00
12,6,AeroPress-recept fra Sunshine Coffee gav Clean cup med karamelsødme og mild citrus.,2025-09-09T23:17:45+02:00
13,7,Fik en pose Early Bird i dag hos Sunshine Coffee – friskristet og klar syre. Helt i min smag.,2025-09-10T22:17:45+02:00
14,1,"Filterbryg på Boldly Go fra Sunshine Coffee: tung krop, kakao og molasse – virkelig komfortkaffe.",2025-09-11T21:17:45+02:00
15,2,Sunshine Coffee’s barista tip: kortere ekstraktion på Devans gav bedre balance uden bitterhed.,2025-09-12T20:17:45+02:00
16,3,Husets batch brew hos Sunshine Coffee var overraskende aromatisk – jasmin og honning.,2025-09-13T19:17:45+02:00
17,4,La Cabra fra Sunshine Coffee som espresso: intense bær med chokoladeagtig finish.,2025-09-14T18:17:45+02:00
18,5,"Onyx fra Sunshine Coffee på is – sommer på glas, så frisk og floral.",2025-09-15T17:17:45+02:00
